episode_id,channel,duration_sec,programme,has_remote_guest,covers_market_news,local_path,sha256,license_attestation,sample_rate,channels,codec,bit_rate_kbps,file_size_bytes,duration_flag,rejection_reason,sha256_verified,notes
ep001,RTV Business,2305.1,RTV Business Talk,False,False,datasets/06.mp3,0e580afdd8e0f9186c4ed6e6d611d6e28d9be595637722a496ec151fb70dcf36,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,192,55322469,ok,,True,
ep002,RTV Business,2545.16,RTV Business Talk,False,False,datasets/07.mp3,d82ad86c249263a9dd468e248f0b2c5e6fd521faa22d216218087263f91cb926,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,256,81445198,ok,,True,
ep003,RTV Business,3355.07,RTV Business Talk,False,False,datasets/08.mp3,d93b90cde505317cb14ce463bb471224d7e469996e6b71e9f019fbdc7f72ad43,UNVERIFIED — must be completed before Stage 4,44100,2,MP4,0,54299002,ok,,True,
ep004,RTV Business,2025.14,RTV Business Talk,False,False,datasets/09.mp3,47afa5bbdf6cdcb4f48c2abad53d29d9767e4e15b499574e670f6add270ef884,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,256,64804571,ok,,True,
ep005,RTV Business,1995.15,RTV Business Talk,False,False,datasets/10.mp3,b1ca7981a1ef0a362d5543c7f3a05b7d3a896aae36c2c7763487a6a58b79d229,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,256,63844937,ok,,True,
ep006,RTV Business,2635.13,RTV Business Talk,False,False,datasets/11.mp3,fd47ac95a8dc7cfd9788f4303badf6ed6033644000b0c7bea0c0acc9405c4d38,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,256,84324101,ok,,True,
ep007,RTV Business,2015.14,RTV Business Talk,False,False,datasets/12.mp3,f7b9611a1ce910e8cd402e0bdaf1ce366705e8eeca8379b1cf801ca91b29d6ab,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,256,64484414,ok,,True,
ep008,RTV Business,1615.33,RTV Business Talk,False,False,datasets/13.mp3,3b1a5b44ab5af13df6108a12720092f9977051f72944bf6d0f590822ef100f1b,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,256,51690684,short,,True,
ep009,RTV Business,3320.06,RTV Business Talk,False,False,datasets/14.mp3,59297c7d1d3f411850da303d7bc564bfb1bbad0cac13d7403b91bfceeb58ee50,UNVERIFIED — must be completed before Stage 4,44100,2,MP4,0,53732255,ok,,True,
ep010,RTV Business,2735.18,RTV Business Talk,False,False,datasets/15.mp3,8f12e97a049677da16cfe9f6bda7397e554686178eaff85cef6d111a9d4f86d3,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,256,87525668,ok,,True,
ep011,RTV Business,2680.11,RTV Business Talk,False,False,datasets/16.mp3,1915dd21e39c28fcccf8e41d9ddae3eed6fdd0c1aa1454025c95d94860462dc7,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,192,64322802,ok,,True,
ep012,RTV Business,2695.11,RTV Business Talk,False,False,datasets/17.mp3,49c4fa17ea12d4fdba9a94f8b765a4510bcc7dc53f666831829093512952338b,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,192,64682665,ok,,True,
ep013,RTV Business,2460.11,RTV Business Talk,False,False,datasets/18.mp3,8551fea9dd5cc6e9707d95cfe7dece8f27c15fcd0748b2676ed52c001e28edb2,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,192,59042724,ok,,True,
ep014,RTV Business,2635.13,RTV Business Talk,False,False,datasets/19.mp3,6f63278625593d7ca8cc230a7ce5656c76e21cb8390d2bc304c1ff77e91dfc13,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,256,84324101,ok,,True,
ep015,RTV Business,2260.17,RTV Business Talk,False,False,datasets/20.mp3,426e69dd14180ef59597a23ef1dde87f400f2366af8f19879cc3e95c4e8721b6,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,256,72325328,ok,,True,
ep016,RTV Business,2475.15,RTV Business Talk,False,False,datasets/21.mp3,152c9ccb10546fe9130ce5c479269ec54f3a0a024798bf7dd7849a2cf98a3550,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,256,79204937,ok,,True,
ep017,RTV Business,2495.14,RTV Business Talk,False,False,datasets/22.mp3,7ac77dfe1814b86c4437a82469d62ff26359fecbcd9ea205b9c9fd8283dd50f9,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,256,79844414,ok,,True,
ep018,RTV Business,1855.22,RTV Business Talk,False,False,datasets/23.mp3,8c1da9c3d435915477c02af4b548e82a56fdceac4bd19ce904cf6c7dcb3ff7c9,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,256,59366922,ok,,True,
ep019,RTV Business,3235.05,RTV Business Talk,False,False,datasets/24.mp3,22b62e2722947beea66f228466c3a09ef3f057c6c1aa3728dd828057612e4feb,UNVERIFIED — must be completed before Stage 4,44100,2,MP4,0,52356551,ok,,True,
ep020,RTV Business,2726.48,RTV Business Talk,False,False,datasets/25.mp3,bc3dfd7f7c3ebf96d566c3c1114a56f18120532161ffc099269d29722af27ea8,UNVERIFIED — must be completed before Stage 4,44100,2,MP3,256,87247307,ok,,True,
